lon_h3,target,stops_cnt,roads_cnt,amenity_cnt,Авторемонт и техобслуживание (СТО),Банки,Быстрое питание,Доставка готовых блюд,Женская одежда,Кафе,Овощи / Фрукты,Рестораны,Супермаркеты
60.53863573984263,103,27,27,178,39,3,32,6,43,13,7,3,32
60.62227735266387,90,2,9,19,12,0,0,1,0,6,0,0,0
60.577342748088974,772,9,1,34,2,0,7,3,8,3,1,0,10
60.54784389147375,76,15,10,95,29,0,2,19,9,3,7,2,24
60.51975391564359,16788,17,9,188,0,13,12,29,66,9,9,4,46
60.518639477199024,9539,19,11,206,0,13,13,31,66,11,11,4,57
60.52084946304159,46,18,11,200,0,13,13,30,66,11,10,4,53
60.51254867683697,58,17,9,201,0,13,13,23,68,11,11,4,58
60.7333949394865,1201,5,12,18,3,1,3,0,6,0,3,0,2
60.7066145937184,12485,9,29,169,29,10,9,7,50,6,12,2,44
60.72924534965739,114,2,1,20,3,2,1,1,7,2,0,0,4
60.80152333230934,5314,6,2,46,3,1,7,3,5,4,0,5,18
60.78284120151885,584,2,1,38,0,0,12,1,11,3,0,5,6
60.68355094462902,12175,32,11,168,15,8,24,6,38,3,14,2,58
60.68355094462902,98,32,11,168,15,8,24,6,38,3,14,2,58
60.66917450420716,112,23,17,126,32,2,10,4,28,6,12,0,32
60.67300576676538,3233,20,11,72,28,0,7,1,3,6,9,0,18
60.64504489288876,85,26,22,252,39,10,24,11,70,16,19,0,63
60.640550512925806,91,49,22,255,29,15,20,10,39,18,33,7,84
60.63889724916359,10941,54,28,300,31,18,29,11,55,21,36,7,92
60.61518428392884,143,25,20,114,61,2,14,3,3,4,8,0,19
60.63287604181705,79,35,24,252,28,15,26,10,67,13,23,3,67
60.63122226889332,15842,34,23,228,16,15,26,10,65,9,23,3,61
60.60738926136166,2168,30,29,152,7,14,25,12,29,19,8,4,34
60.64398536287741,1248,8,17,93,37,1,4,4,8,11,5,0,23
60.61834528277256,83,48,23,559,7,70,63,29,157,56,16,61,100
60.63771114517112,6761,45,21,346,37,32,45,18,94,41,8,17,54
60.64435429210312,76,50,15,284,34,18,50,16,63,37,11,6,49
60.62492707389646,5123,44,19,431,11,50,41,21,117,29,18,42,102
60.61660453654444,7382,43,22,401,25,42,32,26,108,44,11,42,71
60.64674156357814,2604,21,15,169,18,3,19,7,57,6,5,0,54
60.64674156357814,93,21,15,169,18,3,19,7,57,6,5,0,54
60.62468658163233,177,45,15,328,23,19,38,24,133,19,23,4,45
60.61091434608091,12934,35,18,346,36,26,40,23,109,31,12,1,68
60.61309737037849,20212,35,16,428,24,24,47,26,198,22,21,5,61
60.61693127520506,8032,36,7,324,60,13,36,16,120,15,19,4,41
60.611503101640906,12691,44,21,433,24,37,37,21,137,40,22,4,111
60.611503101640906,152,44,21,433,24,37,37,21,137,40,22,4,111
60.61147445957969,11228,42,18,414,33,39,40,27,129,34,16,1,95
60.5816060032201,17944,12,10,174,17,8,31,12,33,8,18,2,45
60.62371542685219,892,19,20,239,25,17,13,18,47,19,14,14,72
60.64088960677963,8268,21,16,178,10,7,13,20,37,12,14,14,51
60.61516388627949,975,22,17,148,22,4,15,14,32,6,10,0,45
60.608029466718726,87,25,14,132,25,4,12,12,21,6,9,0,43
43.8926202337533,12864,18,15,78,33,2,13,3,0,3,0,1,23
43.85711874569197,5272,29,4,114,14,5,17,7,20,13,13,0,25
43.95699671511717,7754,15,9,146,18,3,21,11,55,14,2,10,12
43.95699671511717,80,15,9,146,18,3,21,11,55,14,2,10,12
43.947154568306416,5644,55,35,338,14,13,39,19,181,31,9,5,27
43.947154568306416,79,55,35,338,14,13,39,19,181,31,9,5,27
43.94531924458674,7314,53,32,340,14,13,39,18,180,34,10,5,27
43.958219278517085,5609,36,28,309,12,15,34,16,171,26,9,5,21
43.94695135367285,434,51,31,317,19,12,36,24,170,27,9,0,20
43.91542682542008,5557,17,10,91,29,1,10,9,4,11,8,0,19
43.92644063724479,9339,20,8,90,11,6,9,7,11,7,13,1,25
43.92533640750185,5303,16,36,141,20,8,14,8,62,11,1,1,16
43.92533640750185,81,16,36,141,20,8,14,8,62,11,1,1,16
43.90729144115445,33,20,8,45,19,0,3,2,1,4,4,0,12
43.927271535939454,3927,27,34,173,20,10,18,10,64,12,8,1,30
43.864395554441046,14499,48,16,270,16,32,29,9,85,30,12,12,45
43.8778859742179,11849,26,9,204,18,7,16,8,82,15,6,0,52
43.86391305588676,9932,21,15,155,4,10,13,9,48,10,10,0,51
43.85611281204151,13906,48,13,181,19,8,28,23,39,3,9,0,52
43.98389719988016,789,20,13,133,15,9,14,23,28,9,7,5,23
43.976970824682745,1672,14,12,66,14,4,6,8,3,5,2,3,21
43.96788329994268,685,22,9,41,17,2,0,2,0,8,0,0,12
43.96783195902346,2623,22,9,41,17,2,0,2,0,8,0,0,12
43.92383294544179,577,40,22,250,12,20,30,26,90,18,8,4,42
43.94618972536587,7166,35,23,92,8,3,22,8,11,8,10,0,22
43.92769985169351,8473,40,17,269,20,16,34,29,87,18,9,4,52
43.771264124528926,1769,4,1,2,1,1,0,0,0,0,0,0,0
43.85982035336721,1294,34,30,302,20,39,23,14,116,22,10,4,54
43.85784135981267,60,29,17,291,17,33,32,14,104,27,10,7,47
43.87048828652848,7134,26,20,302,34,33,29,12,108,26,10,7,43
43.86686787811729,11839,26,23,312,37,33,31,14,107,26,10,7,47
43.82413813726316,8881,24,24,145,16,3,18,11,38,9,10,0,40
43.95083023215324,2669,13,7,147,4,10,12,5,48,9,8,3,48
43.94513288397603,12911,14,6,138,17,10,14,0,38,10,5,6,38
44.0829130099582,267,6,7,84,13,0,10,0,28,9,2,0,22
44.03655841154642,10703,53,33,209,11,4,17,9,104,14,8,6,36
44.045635420453856,7296,39,11,189,10,3,14,4,104,13,9,4,28
44.04201523444083,82,44,21,192,9,3,16,5,104,13,8,4,30
44.02061377407175,655,21,38,70,17,2,3,7,4,13,6,2,16
44.07001238411669,4262,14,8,161,38,4,15,14,53,12,6,11,8
44.07632876483416,6644,24,9,214,30,7,25,21,67,12,8,6,38
44.07783861496901,14742,17,11,183,11,3,18,8,81,8,10,4,40
44.07687499256457,10135,13,9,196,41,5,11,15,90,12,3,12,7
44.07687499256457,86,13,9,196,41,5,11,15,90,12,3,12,7
44.06957691529202,295,14,10,238,71,5,12,18,90,15,4,12,11
44.01694072545918,2496,3,32,11,6,0,0,1,0,2,0,0,2
43.98829538124889,11828,52,43,421,38,48,45,32,142,27,6,25,58
43.99742397319264,2332,45,36,490,36,60,51,34,170,40,4,34,61
43.99396023527688,9767,40,45,520,4,60,57,29,189,71,6,45,59
43.98084848478676,598,33,34,274,23,20,31,20,110,12,3,13,42
44.02697443756608,107,50,32,357,22,59,13,23,121,34,8,30,47
44.02881219426238,421,48,32,284,22,41,11,16,98,21,5,26,44
44.019412366236416,5402,56,31,520,41,61,18,19,206,49,16,34,76
44.04124976187173,768,37,34,109,21,8,7,3,18,11,9,1,31
44.0143763207477,12254,37,27,405,3,52,38,30,99,86,4,53,40
43.99622215482335,1377,12,34,50,33,1,7,2,1,3,1,0,2
83.12322290238554,9287,16,24,113,15,1,5,11,15,4,13,0,49
83.0806911240574,5235,21,22,127,17,7,11,7,26,3,12,0,44
83.10009117719866,7163,10,23,75,11,0,4,9,13,3,6,0,29
83.09680492961837,609,10,23,58,7,0,4,3,13,3,5,0,23
83.10144386690715,7372,22,9,194,37,7,18,11,61,18,8,3,31
83.1079791716119,253,20,5,176,47,6,18,3,55,14,5,6,22
83.10467304385824,686,20,7,175,46,6,17,3,52,16,5,8,22
83.10578367997651,12219,20,7,175,46,6,17,3,52,16,5,8,22
83.11234396274482,1837,8,5,126,49,7,9,2,36,6,0,5,12
83.08834400021773,1073,12,8,85,8,2,12,3,18,11,9,0,22
83.0937965064601,12056,23,9,157,22,9,18,11,37,16,10,4,30
83.10033321120035,1600,21,9,183,34,9,18,6,59,14,8,5,30
82.96276264610175,107,16,24,152,42,3,16,3,30,2,13,0,43
82.96496390347754,16632,12,21,151,41,3,16,3,30,2,13,0,43
82.90757986156069,195,37,3,240,34,14,29,19,42,8,27,0,67
82.9174578870381,13597,26,3,188,10,10,21,12,35,7,28,0,65
82.93291316736274,579,23,2,91,32,2,8,8,8,2,10,0,21
82.92301838964575,1341,24,1,181,54,7,22,9,28,4,19,0,38
82.90541133765223,9853,35,4,191,40,8,26,18,25,9,15,0,50
82.92315412691569,2441,27,12,118,35,2,17,1,37,13,4,3,6
82.92204482812612,1963,13,10,42,27,0,0,1,3,3,2,0,6
82.93750883896293,17300,24,8,175,46,4,18,3,65,15,3,3,18
82.93750883896293,76,24,8,175,46,4,18,3,65,15,3,3,18
82.98174050544802,12464,20,15,164,31,3,15,5,49,2,10,2,47
82.99159470611684,128,17,8,92,10,3,13,4,29,2,3,2,26
82.85382715931671,7955,19,27,151,43,3,17,3,29,5,12,0,39
82.88669508742332,6693,25,2,141,29,4,21,11,10,3,14,0,49
82.96025898207263,7725,21,13,331,76,20,39,12,68,28,21,8,59
82.95358583320206,15070,30,15,346,25,21,48,20,99,38,24,10,61
82.95358583320206,125,30,15,346,25,21,48,20,99,38,24,10,61
82.97243951205152,7916,22,20,228,73,15,25,4,39,13,13,2,44
82.97778727450014,8709,20,7,328,94,15,42,19,38,16,28,2,74
82.97778727450014,119,20,7,328,94,15,42,19,38,16,28,2,74
82.9766945412183,6453,25,8,395,99,16,46,23,80,16,27,5,83
83.00313413599699,8697,20,21,108,44,4,13,1,4,8,6,0,28
82.97446987876636,8479,20,8,354,92,16,40,19,68,16,26,3,74
82.97560175034312,1075,24,9,406,97,16,50,26,93,19,26,5,74
82.96917858340944,1380,1,14,52,24,0,9,2,13,3,1,0,0
82.98907537543923,1578,20,25,69,21,1,9,0,15,4,5,0,14
82.92380032900023,1655,68,22,736,18,49,101,43,274,92,26,37,96
82.92048323020038,15651,64,26,728,5,45,102,45,281,89,27,39,95
82.92708315681517,1301,57,22,740,38,46,87,40,279,100,21,39,90
82.9227059377669,15737,55,21,622,18,40,86,39,257,60,21,19,82
82.9227059377669,0,55,21,622,18,40,86,39,257,60,21,19,82
82.92930602812079,17056,64,23,663,39,36,87,39,254,71,21,24,92
82.91287032867176,9467,34,14,410,23,35,68,24,149,28,20,8,55
82.90404422682329,49,32,17,457,21,36,66,25,162,22,29,10,86
82.93502236627945,3071,23,19,160,14,8,29,13,17,18,13,2,46
82.93502236627945,97,23,19,160,14,8,29,13,17,18,13,2,46
82.91511004674526,13749,40,12,392,17,36,69,20,136,21,21,5,67
82.91290334726646,183,37,11,415,12,36,67,17,154,21,26,5,77
82.91399841687132,109,38,11,436,17,36,69,23,159,28,24,5,75
82.96016489774448,13292,16,14,183,6,11,27,15,74,13,11,3,23
82.93472350486833,821,23,32,349,63,23,38,5,100,51,5,30,34
82.93585244954397,1326,27,29,400,79,25,40,16,93,55,7,41,44
82.94015579307612,1915,30,27,312,42,26,43,25,63,20,20,10,63
82.97173387356983,1670,6,4,82,11,2,15,10,21,2,4,0,17
82.96399534786414,7012,18,7,189,37,4,24,16,46,6,13,1,42
82.97402018836965,11308,12,4,201,83,4,17,5,51,5,9,0,27
83.01715207476987,5312,9,6,151,28,2,13,14,26,10,16,1,41
83.02155836609093,7108,9,5,160,37,2,13,14,26,10,16,1,41
83.02155836609093,95,9,5,160,37,2,13,14,26,10,16,1,41
83.02511566839596,1269,7,5,104,13,3,18,14,10,6,13,0,27
83.01852422898202,94,11,8,138,21,3,23,13,25,8,14,0,31
83.0239806091789,4301,7,6,83,1,1,16,13,10,3,12,0,27
82.96639845725554,12635,12,7,112,32,2,14,16,10,5,14,0,19
82.95982657464839,668,9,16,104,35,2,8,14,6,6,13,0,20
82.87087170039713,13,9,14,70,24,0,5,2,16,9,3,0,11
82.89794515462992,11786,12,11,88,25,3,6,3,15,5,6,0,25
82.9431150901412,17069,24,8,169,35,3,12,5,37,8,20,1,48
82.93866143707076,100,20,9,163,37,3,12,7,34,8,20,1,41
82.8890428541254,932,6,12,3,3,0,0,0,0,0,0,0,0
82.89128360264995,907,4,12,6,6,0,0,0,0,0,0,0,0
82.9090790622337,11064,36,16,308,5,23,51,25,91,34,20,0,59
82.90465626590009,98,61,19,538,27,40,85,33,182,47,31,13,80
82.90356264534516,9726,54,17,467,18,38,71,36,146,43,29,6,80
82.92038201338814,19655,40,22,665,27,46,56,30,245,111,16,73,61
82.92038201338814,68,40,22,665,27,46,56,30,245,111,16,73,61
82.91597180715891,626,45,29,781,24,60,70,39,261,135,23,94,75
82.91819367624203,6222,57,30,921,29,72,81,45,322,153,27,99,93
82.91376667902712,16618,48,29,785,31,55,76,37,259,137,22,95,73
82.92253618223779,2175,44,20,512,43,40,52,23,159,77,12,55,51
82.9280393786835,5998,37,29,396,40,31,32,11,130,47,14,35,56
82.92807385326836,507,47,25,663,51,46,72,24,208,100,16,71,75
82.90058325251205,10518,35,27,441,11,33,70,27,123,45,23,36,73
82.90058325251205,108,35,27,441,11,33,70,27,123,45,23,36,73
82.9027727971148,11830,42,27,664,28,48,94,34,204,86,26,64,80
82.91452938338969,5519,25,21,219,8,9,49,13,67,21,12,0,40
82.9145625106829,7359,29,17,264,8,15,49,19,85,25,17,0,46
82.94675108456512,974,39,25,384,36,22,59,29,91,41,25,5,76
82.94124910347571,8226,30,26,312,42,26,43,25,63,20,20,10,63
82.93904465203248,3064,34,28,281,35,20,33,22,67,19,18,7,60
82.94773498137955,985,22,17,162,42,0,38,9,21,17,12,3,20
82.9499752119746,390,27,18,283,55,7,48,17,44,36,18,3,55
82.95441989135111,7761,38,24,320,49,16,41,23,54,36,23,4,74
82.92689410187484,90,23,22,169,40,16,11,6,51,13,4,18,10
82.92800491083668,2081,25,25,203,37,18,12,9,65,25,4,20,13
82.93241374893212,446,24,28,188,37,16,22,6,55,8,9,7,28
82.85509908762464,1514,39,14,241,71,8,34,11,29,12,23,0,53
82.86948808510911,342,18,10,72,40,4,12,2,4,4,1,0,5
82.88041933875604,729,27,22,243,32,26,30,27,43,11,18,0,56
82.86833589738396,2653,29,18,160,47,8,18,11,14,9,12,0,41
82.84848761546901,8187,33,14,223,76,4,27,12,14,7,23,0,60
82.85292239595886,9955,30,7,197,83,7,22,11,14,9,13,0,38
82.89248384485643,11064,52,19,432,24,36,57,17,172,20,24,19,63
82.8902808558662,4063,57,21,455,26,43,62,18,178,22,24,19,63
82.8902808558662,108,57,21,455,26,43,62,18,178,22,24,19,63
82.89249933103282,9365,63,16,558,26,43,86,33,212,29,33,19,77
82.8968897731099,98,68,15,563,32,42,88,24,226,33,32,19,67
82.89798336790928,8748,64,15,492,30,37,69,22,204,22,24,17,67
82.87154754935035,8878,40,33,259,27,20,35,11,57,12,27,2,68
82.87154754935035,98,40,33,259,27,20,35,11,57,12,27,2,68
82.88592032352554,11048,48,20,462,32,37,55,32,151,30,33,15,77
83.0639233830903,2396,7,0,21,2,0,3,1,7,5,1,0,2
83.0595801182081,292,8,6,44,5,2,7,4,8,3,4,0,11
83.0935189807869,589,17,12,109,0,13,11,5,26,18,6,11,19
83.10565460242422,244,14,4,98,5,16,3,2,25,16,5,7,19
83.0956631251106,7449,14,13,120,0,11,15,5,30,19,6,12,22
83.0956631251106,6118,14,13,120,0,11,15,5,30,19,6,12,22
83.04199341647663,7463,11,13,60,20,2,5,4,6,0,5,0,18
82.78793269132733,577,3,17,5,3,0,1,0,0,0,1,0,0
82.84404051205784,261,36,35,196,49,2,22,10,31,7,23,0,52
82.80768523120912,1672,22,16,129,25,5,11,12,9,5,20,0,42
82.75040442284038,845,2,0,6,0,0,1,0,2,0,1,0,2
30.299512474169447,1018,2,1,4,2,1,0,0,0,0,1,0,0
30.318279584161694,478,9,6,200,15,1,44,7,101,10,4,5,13
30.313974888405387,3221,11,5,38,20,2,3,0,0,2,2,1,8
30.32150014060157,10210,9,5,200,15,1,44,7,101,10,4,5,13
30.320088165082066,212,9,4,200,15,1,44,7,101,10,4,5,13
30.3243502601508,545,2,4,5,1,0,0,0,0,2,0,0,2
30.38262164102633,10094,46,7,303,9,28,38,4,185,4,8,4,23
30.37914393534929,13246,58,8,361,31,29,46,8,188,7,12,5,35
30.382739912963785,10997,64,8,300,18,30,46,6,136,5,16,3,40
30.37878368654565,161,58,9,361,31,29,46,8,188,7,12,5,35
30.39809588296312,10508,48,10,135,0,9,19,10,6,5,29,6,51
30.41428910738597,11826,44,8,114,12,4,13,4,11,6,18,4,42
30.34568652135868,17867,41,10,307,42,17,43,1,88,15,19,13,69
30.33837269159144,6813,34,7,271,25,15,46,8,86,10,14,8,59
30.35347563183005,23,46,10,296,33,17,47,4,98,8,16,12,61
30.36716654353196,7593,51,1,228,21,15,30,4,107,8,9,2,32
30.27112779843408,10826,1,1,7,0,1,1,0,0,1,0,0,4
30.160895665803764,996,3,2,27,0,0,4,5,0,3,0,0,15
30.16207930902048,14892,3,2,27,0,0,4,5,0,3,0,0,15
30.305241795661168,0,47,8,193,7,25,37,8,28,21,17,10,40
30.29771526197357,44800,6,7,38,21,0,3,0,0,4,0,0,10
30.32128724276852,11435,57,14,277,9,36,36,5,56,24,19,37,55
30.31215611006219,7952,31,9,218,2,21,28,7,45,17,19,27,52
30.316325180038607,17147,19,4,132,11,0,25,5,49,7,6,8,21
30.32324125238571,91,83,15,236,0,33,34,8,63,24,14,11,49
30.32646609629813,2414,80,15,375,38,38,40,13,139,29,9,22,47
30.32143104313156,11007,93,18,343,18,47,44,10,93,34,14,26,57
30.25923695003632,2302,49,11,168,0,17,24,2,56,3,13,3,50
30.248088985446685,7202,41,11,152,0,18,33,3,29,4,15,0,50
30.24964357055791,7569,44,11,168,0,20,25,5,45,3,15,3,52
30.26903286280581,15638,40,6,287,18,33,30,3,128,11,11,10,43
30.238034724747035,69,34,5,127,0,13,26,3,25,2,12,2,44
30.282207473130903,90,17,4,174,46,8,20,1,69,5,5,0,20
30.2598005584132,96,50,11,304,16,40,20,4,135,9,12,13,55
30.441527753264285,2047,8,10,36,16,0,2,1,3,3,1,4,6
30.44668560474266,75,41,6,155,26,2,40,4,49,4,7,0,23
30.44932773740957,15102,43,10,182,26,2,43,4,58,4,9,0,36
30.47732283070369,8184,64,8,280,8,25,41,4,115,10,13,7,57
30.4783986721533,93,53,10,307,24,25,46,4,116,11,12,5,64
30.473829387088504,7322,62,11,257,8,19,33,4,112,10,11,7,53
30.448404914434413,37,23,9,203,23,7,33,9,102,6,2,4,17
30.47952550664108,5142,45,9,334,3,42,41,13,143,16,17,19,40
30.48409005436895,14020,41,11,333,3,22,44,15,158,14,21,19,37
30.47160213109281,7895,62,13,276,5,36,39,20,46,20,25,13,72
30.466187158876263,12241,58,13,251,4,35,36,19,36,19,21,10,71
30.466187158876263,158,58,13,251,4,35,36,19,36,19,21,10,71
30.47388513984481,583,51,13,275,5,41,40,18,48,22,24,17,60
30.395338279785168,9966,18,16,55,34,1,5,2,1,6,0,4,2
30.42974661238753,7419,58,15,270,11,24,45,8,105,12,7,12,46
30.43564771455312,898,32,10,260,58,7,36,9,108,8,2,6,26
30.438292115915,16250,32,10,237,32,7,35,10,110,9,2,6,26
30.438292115915,93,32,10,237,32,7,35,10,110,9,2,6,26
30.41952612111924,9910,39,19,234,60,1,25,4,96,12,2,16,18
30.41952612111924,121,39,19,234,60,1,25,4,96,12,2,16,18
30.410735452134496,15518,60,14,184,4,31,21,2,27,19,9,21,50
30.4185340086266,592,27,15,151,32,7,13,7,22,27,8,3,32
30.48901394148614,8024,59,11,268,5,20,48,6,106,10,14,7,52
30.48901394148614,71,59,11,268,5,20,48,6,106,10,14,7,52
30.47432052393741,100,58,11,276,27,16,35,4,112,11,11,7,53
30.492731467776625,9308,59,11,239,9,17,42,6,88,11,12,7,47
30.49787974973324,11475,16,10,34,6,1,2,1,4,3,3,0,14
30.457550082544696,196,36,10,108,4,4,15,3,11,10,7,14,40
30.47135909213756,10527,38,14,96,10,4,14,3,10,9,7,9,30
30.48235487177592,11086,23,6,45,3,0,7,0,11,3,4,3,14
30.44543075576609,95,42,16,170,3,20,26,6,22,24,11,13,45
30.461653676995773,3278,24,8,95,8,3,13,1,24,12,6,1,27
30.461653676995773,95,24,8,95,8,3,13,1,24,12,6,1,27
30.43810173853436,12966,39,18,116,7,16,14,4,13,18,9,7,28
30.483598311969008,15662,38,10,319,0,22,46,14,151,12,19,16,39
30.493797742330788,91,17,7,94,22,3,21,2,16,5,4,3,18
30.36357576929437,1070,42,40,480,0,52,45,17,102,92,7,84,81
30.36044949283693,91,38,39,443,0,51,41,16,92,87,6,75,75
30.35589356657185,2955,66,44,1498,0,66,201,41,610,214,8,203,155
30.355169681661003,6271,81,42,1634,0,71,204,41,619,237,8,270,184
30.356979230764782,8254,51,41,1398,14,70,183,42,578,196,8,169,138
30.36010372085743,13377,67,38,1544,8,75,197,46,651,216,11,185,155
30.346996985477315,17181,74,45,1381,0,69,163,27,532,216,5,222,147
30.346996985477315,88,74,45,1381,0,69,163,27,532,216,5,222,147
30.362143348367542,76,68,47,1240,0,68,152,39,474,149,7,189,162
30.36791654206202,1260,70,47,1154,8,59,143,37,459,124,11,167,146
30.358656416277213,17026,72,38,1500,0,74,172,38,605,197,10,233,171
30.332440492520583,92,75,63,1006,0,70,111,20,312,166,3,237,87
30.353454477703607,10815,46,24,137,13,12,43,5,11,23,3,13,14
30.36283713586663,1106,20,14,61,20,5,13,8,4,6,1,2,2
30.35972558033096,14971,44,40,492,0,52,44,17,102,96,7,87,87
30.38475594344837,10330,43,35,237,22,17,10,5,97,26,4,20,36
30.36732232124238,3114,19,29,205,13,12,10,5,76,28,1,24,36
30.3905267127519,2417,43,35,154,8,15,12,6,15,30,9,26,33
30.322093137006554,6175,64,49,638,2,49,58,12,199,100,2,173,43
30.316828636757155,92,50,49,669,0,28,98,29,215,123,1,97,78
30.318026434001528,1099,87,47,979,0,55,127,42,305,159,3,184,104
30.317554600101428,655,77,51,736,0,30,118,33,198,142,3,107,105
30.32067609673361,10894,72,56,789,0,36,115,39,235,145,3,120,96
30.32067609673361,96,72,56,789,0,36,115,39,235,145,3,120,96
30.31838941209533,579,87,47,902,0,41,127,40,280,150,3,157,104
30.33015349979977,1257,65,65,894,2,59,98,16,280,147,3,215,74
30.32354486101979,559,88,67,1089,2,67,131,34,338,172,2,252,91
30.31940697374321,92,69,32,512,5,32,79,14,147,84,9,73,69
30.312432051335687,0,61,48,557,0,30,68,9,190,89,13,81,77
30.317481516898845,3407,80,40,569,5,38,80,12,164,92,11,85,82
30.31352227423201,1015,43,38,375,0,22,55,7,103,69,7,52,60
30.33642821707507,9489,40,41,605,4,33,68,19,207,129,2,70,73
30.34977999912792,11365,58,34,461,43,30,77,13,119,88,6,35,50
30.31900626508912,3315,68,48,560,0,29,120,28,144,83,4,67,85
30.31962285975297,13852,47,34,235,2,13,66,7,24,35,8,20,60
30.316974160735747,98,55,39,335,6,21,89,14,39,62,7,29,68
30.40642168472668,8294,42,12,178,17,11,21,4,30,11,12,6,66
30.42895165606047,526,35,12,102,32,3,9,2,19,6,7,2,22
30.440051036494435,7182,29,12,70,50,1,4,1,0,1,1,0,12
30.440493986398227,11528,38,11,149,68,8,11,5,16,5,8,2,26
30.39413642988077,7915,34,11,212,38,7,30,12,23,11,10,10,71
30.38101367378733,44706,48,12,112,55,1,12,6,11,12,1,0,14
30.38750907687216,2030,19,12,82,32,4,6,0,3,5,17,1,14
30.413399190376943,10415,54,18,148,2,10,18,3,36,16,14,5,44
30.40340690281435,560,51,12,116,12,9,10,3,20,12,6,4,40
30.399915215757595,1021,8,12,22,2,0,6,3,0,4,0,1,6
30.37107506992732,8671,46,6,261,106,4,35,7,71,11,2,5,20
30.37804042375365,77,44,5,257,63,11,48,4,78,8,8,3,34
